date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:12:56	242677/242677	---MCZ	200	added ('OK')	text/html	etag:W/%228179a1d81d9ea632aa331cace83f24b0%22	https://ecomusnext-themesflat.vercel.app/home-08	C:/Users/WELCOME/Documents/Veer%20bhaiya%20kaa%20AI%20websites/test%20for%20clone/copy/ecomusnext-themesflat.vercel.app/home-08.html	(from )
17:12:57	34160/34160	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22fccf0ca4b1637046647ba09e47cf3f13%22	https://ecomusnext-themesflat.vercel.app/robots.txt		(from )
17:12:57	356919/356919	---MCZ	200	added ('OK')	text/css	etag:W/%222e52519012d18de35c087d975d7f994e%22	https://ecomusnext-themesflat.vercel.app/_next/static/css/a91fe6063339a118.css	C:/Users/WELCOME/Documents/Veer%20bhaiya%20kaa%20AI%20websites/test%20for%20clone/copy/ecomusnext-themesflat.vercel.app/_next/static/css/a91fe6063339a118.css	(from https://ecomusnext-themesflat.vercel.app/home-08)
17:12:57	9339/9339	---MCZ	200	added ('OK')	text/css	etag:W/%2206af231e6ceb4e78952f59e35f119be9%22	https://ecomusnext-themesflat.vercel.app/_next/static/css/38b9cd895729cab2.css	C:/Users/WELCOME/Documents/Veer%20bhaiya%20kaa%20AI%20websites/test%20for%20clone/copy/ecomusnext-themesflat.vercel.app/_next/static/css/38b9cd895729cab2.css	(from https://ecomusnext-themesflat.vercel.app/home-08)
17:12:58	3859/3859	---MCZ	200	added ('OK')	application/javascript	etag:W/%2246e61e7e356b740d9d1b46cce8aabc13%22	https://ecomusnext-themesflat.vercel.app/_next/static/chunks/webpack-dfa2a67b134162eb.js	C:/Users/WELCOME/Documents/Veer%20bhaiya%20kaa%20AI%20websites/test%20for%20clone/copy/ecomusnext-themesflat.vercel.app/_next/static/chunks/webpack-dfa2a67b134162eb.js	(from https://ecomusnext-themesflat.vercel.app/home-08)
17:12:58	167095/167095	---MCZ	200	added ('OK')	application/javascript	etag:W/%220e39186a77e9513ace1c42578133f091%22	https://ecomusnext-themesflat.vercel.app/_next/static/chunks/4bd1b696-b4063ef6beec61cf.js	C:/Users/WELCOME/Documents/Veer%20bhaiya%20kaa%20AI%20websites/test%20for%20clone/copy/ecomusnext-themesflat.vercel.app/_next/static/chunks/4bd1b696-b4063ef6beec61cf.js	(from https://ecomusnext-themesflat.vercel.app/home-08)
17:12:58	201059/201059	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ff0cfc539252d9b9031e1817602dae1c%22	https://ecomusnext-themesflat.vercel.app/_next/static/chunks/1517-f9fa4412e868d5a7.js	C:/Users/WELCOME/Documents/Veer%20bhaiya%20kaa%20AI%20websites/test%20for%20clone/copy/ecomusnext-themesflat.vercel.app/_next/static/chunks/1517-f9fa4412e868d5a7.js	(from https://ecomusnext-themesflat.vercel.app/home-08)
17:12:59	476/476	---M--	200	added ('OK')	application/javascript	etag:%227e6e025aa143d4c8a2dcf7483f54247d%22	https://ecomusnext-themesflat.vercel.app/_next/static/chunks/main-app-9a3720905815865a.js	C:/Users/WELCOME/Documents/Veer%20bhaiya%20kaa%20AI%20websites/test%20for%20clone/copy/ecomusnext-themesflat.vercel.app/_next/static/chunks/main-app-9a3720905815865a.js	(from https://ecomusnext-themesflat.vercel.app/home-08)
17:12:59	23064/23064	---MCZ	200	added ('OK')	application/javascript	etag:W/%222fe5da1a502bbb183e9ade9713f05cf1%22	https://ecomusnext-themesflat.vercel.app/_next/static/chunks/6742-e4a419ea4f8c8f26.js	C:/Users/WELCOME/Documents/Veer%20bhaiya%20kaa%20AI%20websites/test%20for%20clone/copy/ecomusnext-themesflat.vercel.app/_next/static/chunks/6742-e4a419ea4f8c8f26.js	(from https://ecomusnext-themesflat.vercel.app/home-08)
17:12:59	239717/239717	---MCZ	200	added ('OK')	application/javascript	etag:W/%223b5783a379ef8e60fa83aa793f127600%22	https://ecomusnext-themesflat.vercel.app/_next/static/chunks/4809-b97327f686b7c18c.js	C:/Users/WELCOME/Documents/Veer%20bhaiya%20kaa%20AI%20websites/test%20for%20clone/copy/ecomusnext-themesflat.vercel.app/_next/static/chunks/4809-b97327f686b7c18c.js	(from https://ecomusnext-themesflat.vercel.app/home-08)
